2026-03-17 12:59:02 | Candidat ID: 3 | Session: 1 | Action: Sortie de la fenêtre d'examen | Total infractions: 2
2026-03-17 13:10:47 | Candidat ID: 3 | Session: 1 | Action: Sortie de la fenêtre d'examen | Total infractions: 3
2026-03-17 13:10:51 | Candidat ID: 3 | Session: 1 | Action: Clic droit interdit | Total infractions: 4
2026-03-17 13:10:55 | Candidat ID: 3 | Session: 1 | Action: Sortie de la fenêtre d'examen | Total infractions: 5
2026-03-17 13:14:54 | Candidat ID: 7 | Session: 1 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-03-17 13:15:28 | Candidat ID: 7 | Session: 1 | Action: Sortie de la fenêtre d'examen | Total infractions: 2
2026-03-17 13:15:32 | Candidat ID: 7 | Session: 1 | Action: Sortie de la fenêtre d'examen | Total infractions: 3
2026-03-17 13:15:42 | Candidat ID: 7 | Session: 1 | Action: Sortie de la fenêtre d'examen | Total infractions: 4
2026-03-17 13:15:47 | Candidat ID: 7 | Session: 1 | Action: Sortie de la fenêtre d'examen | Total infractions: 5
2026-03-17 14:01:11 | Candidat ID: 18 | Session: 1 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-03-17 14:01:20 | Candidat ID: 18 | Session: 1 | Action: Sortie de la fenêtre d'examen | Total infractions: 2
2026-03-17 14:01:32 | Candidat ID: 18 | Session: 1 | Action: Sortie de la fenêtre d'examen | Total infractions: 3
2026-03-17 14:01:34 | Candidat ID: 18 | Session: 1 | Action: Sortie de la fenêtre d'examen | Total infractions: 4
2026-03-17 14:01:37 | Candidat ID: 18 | Session: 1 | Action: Sortie de la fenêtre d'examen | Total infractions: 5
2026-03-17 14:02:44 | Candidat ID: 17 | Session: 18 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-03-17 14:02:51 | Candidat ID: 17 | Session: 18 | Action: Sortie de la fenêtre d'examen | Total infractions: 2
2026-03-17 14:03:02 | Candidat ID: 17 | Session: 18 | Action: Sortie de la fenêtre d'examen | Total infractions: 3
2026-03-17 14:03:05 | Candidat ID: 17 | Session: 18 | Action: Sortie de la fenêtre d'examen | Total infractions: 4
2026-03-17 14:07:20 | Candidat ID: 17 | Session: 18 | Action: Changement de fenêtre/onglet | Total infractions: 5
2026-03-18 12:43:16 | Candidat ID: 1 | Session: 1 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-03-18 12:43:20 | Candidat ID: 1 | Session: 1 | Action: Sortie de la fenêtre d'examen | Total infractions: 2
2026-03-18 12:43:23 | Candidat ID: 1 | Session: 1 | Action: Clic droit interdit | Total infractions: 3
2026-03-18 12:43:26 | Candidat ID: 1 | Session: 1 | Action: Sortie de la fenêtre d'examen | Total infractions: 4
2026-03-18 12:43:31 | Candidat ID: 1 | Session: 1 | Action: Clic droit interdit | Total infractions: 5
2026-03-18 15:44:03 | Candidat ID: 5 | Session: 101 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-03-18 15:47:27 | Candidat ID: 25 | Session: 18 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-03-18 15:47:30 | Candidat ID: 25 | Session: 18 | Action: Changement de fenêtre/onglet | Total infractions: 2
2026-03-18 16:04:22 | Candidat ID: 25 | Session: 1 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-03-18 16:46:47 | Candidat ID: 7 | Session: 10 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-03-18 16:49:30 | Candidat ID: 7 | Session: 11 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-03-18 16:51:09 | Candidat ID: 7 | Session: 11 | Action: Sortie de la fenêtre d'examen | Total infractions: 2
2026-03-18 16:51:16 | Candidat ID: 7 | Session: 11 | Action: Sortie de la fenêtre d'examen | Total infractions: 3
2026-03-18 16:51:23 | Candidat ID: 7 | Session: 11 | Action: Sortie de la fenêtre d'examen | Total infractions: 4
2026-03-18 16:51:30 | Candidat ID: 7 | Session: 11 | Action: Sortie de la fenêtre d'examen | Total infractions: 5
2026-03-18 17:04:23 | Candidat ID: 8 | Session: 12 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-03-18 17:06:26 | Candidat ID: 8 | Session: 12 | Action: Sortie de la fenêtre d'examen | Total infractions: 2
2026-03-18 17:06:29 | Candidat ID: 8 | Session: 12 | Action: Sortie de la fenêtre d'examen | Total infractions: 3
2026-03-18 17:10:47 | Candidat ID: 8 | Session: 11 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-03-18 22:18:09 | Candidat ID: 5 | Session: 1 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-03-18 22:36:54 | Candidat ID: 7 | Session: 13 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-03-18 22:37:03 | Candidat ID: 7 | Session: 13 | Action: Clic droit interdit | Total infractions: 2
2026-03-18 23:13:27 | Candidat ID: 6 | Session: 11 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-03-18 23:14:51 | Candidat ID: 10 | Session: 20 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-03-19 09:30:32 | Candidat ID: 1 | Session: 1 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-03-19 09:33:32 | Candidat ID: 6 | Session: 11 | Action: Clic droit interdit | Total infractions: 1
2026-03-19 09:33:35 | Candidat ID: 6 | Session: 11 | Action: Clic droit interdit | Total infractions: 2
2026-03-19 09:55:22 | Candidat ID: 1 | Session: 1 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-03-19 09:55:26 | Candidat ID: 1 | Session: 1 | Action: Sortie de la fenêtre d'examen | Total infractions: 2
2026-03-19 16:21:00 | Candidat ID: 5 | Session: 1 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-03-19 16:21:33 | Candidat ID: 5 | Session: 1 | Action: Sortie de la fenêtre d'examen | Total infractions: 2
2026-03-19 16:49:49 | Candidat ID: 8 | Session: 10 | Action: Clic droit interdit | Total infractions: 1
2026-03-19 17:18:27 | Candidat ID: 8 | Session: 11 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-03-19 17:18:32 | Candidat ID: 8 | Session: 11 | Action: Sortie de la fenêtre d'examen | Total infractions: 2
2026-03-19 17:18:55 | Candidat ID: 8 | Session: 11 | Action: Sortie de la fenêtre d'examen | Total infractions: 3
2026-03-23 11:22:48 | Candidat ID: 9 | Session: 11 | Action: Changement de fenêtre/onglet | Total infractions: 1
2026-03-23 11:24:49 | Candidat ID: 9 | Session: 11 | Action: Sortie de la fenêtre d'examen | Total infractions: 2
2026-03-23 11:25:17 | Candidat ID: 9 | Session: 11 | Action: Sortie de la fenêtre d'examen | Total infractions: 3
2026-03-23 20:53:41 | Candidat ID: 9 | Session: 11 | Action: Sortie de la fenêtre d'examen | Total infractions: 4
2026-03-23 20:54:54 | Candidat ID: 9 | Session: 11 | Action: Sortie de la fenêtre d'examen | Total infractions: 5
2026-03-24 13:05:25 | Candidat ID: 7 | Session: 11 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-03-24 13:14:27 | Candidat ID: 7 | Session: 11 | Action: Sortie de la fenêtre d'examen | Total infractions: 2
2026-03-24 13:28:21 | Candidat ID: 7 | Session: 11 | Action: Sortie de la fenêtre d'examen | Total infractions: 3
2026-03-24 13:37:17 | Candidat ID: 7 | Session: 11 | Action: Sortie de la fenêtre d'examen | Total infractions: 4
2026-03-24 13:53:59 | Candidat ID: 7 | Session: 11 | Action: Changement de fenêtre/onglet | Total infractions: 5
2026-03-24 17:00:04 | Candidat ID: 24 | Session: 48 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-03-25 16:25:56 | Candidat ID: 1 | Session: 51 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-03-25 16:28:27 | Candidat ID: 1 | Session: 51 | Action: Sortie de la fenêtre d'examen | Total infractions: 2
2026-03-25 23:12:12 | Candidat ID: 1 | Session: 51 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-03-25 23:21:34 | Candidat ID: 3 | Session: 48 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-03-25 23:33:30 | Candidat ID: 3 | Session: 49 | Action: Infraction détectée | Total infractions: 1
2026-03-25 23:33:56 | Candidat ID: 3 | Session: 49 | Action: Infraction détectée | Total infractions: 2
2026-03-25 23:33:57 | Candidat ID: 3 | Session: 49 | Action: Infraction détectée | Total infractions: 3
2026-03-25 23:36:34 | Candidat ID: 3 | Session: 49 | Action: Infraction détectée | Total infractions: 4
2026-03-26 00:14:01 | Candidat ID: 4 | Session: 48 | Action: Clic droit interdit | Total infractions: 1
2026-03-26 00:14:45 | Candidat ID: 4 | Session: 48 | Action: Sortie de la fenêtre d'examen | Total infractions: 2
2026-03-26 00:14:48 | Candidat ID: 4 | Session: 48 | Action: Sortie de la fenêtre d'examen | Total infractions: 3
2026-03-26 00:14:53 | Candidat ID: 4 | Session: 48 | Action: Sortie de la fenêtre d'examen | Total infractions: 4
2026-03-26 00:23:06 | Candidat ID: 4 | Session: 49 | Action: Infraction détectée | Total infractions: 1
2026-03-26 00:23:06 | Candidat ID: 4 | Session: 49 | Action: Infraction détectée | Total infractions: 2
2026-03-26 00:25:21 | Candidat ID: 4 | Session: 49 | Action: Infraction détectée | Total infractions: 3
2026-03-26 13:09:21 | Candidat ID: 9 | Session: 2 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-03-26 13:09:27 | Candidat ID: 9 | Session: 2 | Action: Sortie de la fenêtre d'examen | Total infractions: 2
2026-03-26 13:09:34 | Candidat ID: 9 | Session: 2 | Action: Clic droit interdit | Total infractions: 3
2026-03-26 13:10:09 | Candidat ID: 9 | Session: 2 | Action: Sortie de la fenêtre d'examen | Total infractions: 4
2026-03-26 13:27:32 | Candidat ID: 6 | Session: 49 | Action: Infraction détectée | Total infractions: 1
2026-03-26 13:27:44 | Candidat ID: 6 | Session: 49 | Action: Infraction détectée | Total infractions: 2
2026-03-26 13:34:27 | Candidat ID: 6 | Session: 49 | Action: Infraction détectée | Total infractions: 3
2026-03-26 17:13:34 | Candidat ID: 8 | Session: 1 | Action: Clic droit interdit | Total infractions: 1
2026-03-26 17:18:26 | Candidat ID: 7 | Session: 49 | Action: Infraction détectée | Total infractions: 1
2026-03-26 17:18:26 | Candidat ID: 7 | Session: 49 | Action: Infraction détectée | Total infractions: 2
2026-03-26 17:22:51 | Candidat ID: 7 | Session: 49 | Action: Infraction détectée | Total infractions: 3
2026-03-27 13:59:06 | Candidat ID: 5 | Session: 48 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-03-27 14:01:41 | Candidat ID: 5 | Session: 49 | Action: Infraction détectée | Total infractions: 1
2026-03-27 14:42:50 | Candidat ID: 3 | Session: 11 | Action: Infraction détectée | Total infractions: 1
2026-03-27 14:42:51 | Candidat ID: 3 | Session: 11 | Action: Infraction détectée | Total infractions: 2
2026-03-27 14:43:02 | Candidat ID: 3 | Session: 11 | Action: Infraction détectée | Total infractions: 3
2026-03-27 14:46:53 | Candidat ID: 3 | Session: 11 | Action: Infraction détectée | Total infractions: 4
2026-03-27 14:54:24 | Candidat ID: 3 | Session: 11 | Action: Infraction détectée | Total infractions: 5
2026-03-27 16:43:52 | Candidat ID: 3 | Session: 48 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-03-27 16:44:13 | Candidat ID: 3 | Session: 48 | Action: Sortie de la fenêtre d'examen | Total infractions: 2
2026-03-27 16:46:32 | Candidat ID: 3 | Session: 49 | Action: Infraction détectée | Total infractions: 1
